id,marking,group,standard,created_at,updated_at
18167,2225-0118,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18168,2225-0119,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18169,2225-0120,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18170,2225-0121,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18171,2225-0122,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18172,2225-0123,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18173,2225-0124,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18174,2225-0125,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18175,2225-0126,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18176,2225-0127,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18177,2225-0128,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18178,2225-0129,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18179,2225-0130,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18180,2225-0131,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18181,2225-0132,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18182,2225-0133,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18183,2225-0134,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18184,2225-0135,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18185,2225-0136,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18186,2225-0137,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18187,2225-0138,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18188,2225-0139,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18189,2225-0140,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18190,2225-0141,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18191,2225-0142,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18192,2225-0143,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18193,2225-0144,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18194,2225-0145,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18195,2225-0146,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18196,2225-0147,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18197,2225-0148,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18198,2225-0149,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18199,2225-0150,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18200,2225-0151,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18201,2225-0152,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18202,2225-0153,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18203,2225-0154,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18204,2225-0155,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18205,2225-0156,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18206,2225-0157,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18207,2225-0158,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18208,2225-0159,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18209,2225-0160,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18210,2225-0161,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18211,2225-0162,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18212,2225-0171,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18213,2225-0172,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18214,2225-0173,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18215,2225-0174,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18216,2225-0175,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18217,2225-0176,Фреза,ГОСТ 15086-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18218,2228-3944,Фреза,ГОСТ 23248-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18219,2229-0401,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18220,2229-0402,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18221,2229-0403,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18222,2229-0404,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18223,2229-0405,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18224,2229-0406,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18225,2229-0407,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18226,2229-0408,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18227,2229-0409,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18228,2229-0410,Фреза,ГОСТ 20535-75,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18229,2229-0501,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18230,2229-0502,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18231,2229-0503,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18232,2229-0504,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18233,2229-0505,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18234,2229-0506,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18235,2229-0507,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18236,2229-0508,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18237,2229-0509,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18238,2229-0510,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18239,2229-0511,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18240,2229-0512,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18241,2229-0513,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18242,2229-0514,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18243,2229-0515,Фреза,ГОСТ 16226-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18244,2229-0601,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18245,2229-0602,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18246,2229-0603,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18247,2229-0604,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18248,2229-0605,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18249,2229-0606,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18250,2229-0607,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18251,2229-0608,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18252,2229-0609,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18253,2229-0611,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18254,2229-0612,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18255,2229-0613,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18256,2229-0614,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18257,2229-0615,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18258,2229-0616,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18259,2229-0617,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18260,2229-0618,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18261,2229-0619,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18262,2229-0621,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18263,2229-0622,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18264,2229-0623,Фреза,ГОСТ 28709-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18265,2233-4722*,Фреза,ГОСТ 23248-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18266,2234-0133,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18267,2234-0134,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18268,2234-0135,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18269,2234-0136,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18270,2234-0137,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18271,2234-0138,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18272,2234-0141,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18273,2234-0142,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18274,2234-0143,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18275,2234-0144,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18276,2234-0145,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18277,2234-0146,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18278,2234-0147,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18279,2234-0148,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18280,2234-0151,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18281,2234-0152,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18282,2234-0201,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18283,2234-0202,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18284,2234-0203,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18285,2234-0204,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18286,2234-0205,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18287,2234-0206,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18288,2234-0207,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18289,2234-0208,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18290,2234-0211,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18291,2234-0212,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18292,2234-0213,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18293,2234-0214,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18294,2234-0215,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18295,2234-0216,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18296,2234-0217,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18297,2234-0218,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18298,2234-0219,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18299,2234-0221,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18300,2234-0222,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18301,2234-0223,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18302,2234-0224,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18303,2234-0225,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18304,2234-0226,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18305,2234-0228,Фреза,ГОСТ 6396-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18306,2234-0341,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18307,2234-0342,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18308,2234-0344,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18309,2234-0345,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18310,2234-0346,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18311,2234-0347,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18312,2234-0348,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18313,2234-0351,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18314,2234-0352,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18315,2234-0353,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18316,2234-0354,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18317,2234-0355,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18318,2234-0356,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18319,2234-0357,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18320,2234-0358,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18321,2234-0361,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18322,2234-0362,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18323,2234-0363,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18324,2234-0364,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18325,2234-0365,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18326,2234-0366,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18327,2234-0367,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18328,2234-0368,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18329,2234-0371,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18330,2234-0372,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18331,2234-0373,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18332,2234-0374,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18333,2234-0375,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18334,2234-0376,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18335,2234-0377,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18336,2234-0378,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18337,2234-0381,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18338,2234-0382,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18339,2234-0383,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18340,2234-0384,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18341,2234-0385,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18342,2234-0386,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18343,2234-0387,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18344,2234-0388,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18345,2234-0501,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18346,2234-0502,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18347,2234-0503,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18348,2234-0504,Фреза,ГОСТ 16463-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18349,2235-0037,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18350,2235-0038,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18351,2235-0041,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18352,2235-0042,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18353,2235-0043,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18354,2235-0044,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18355,2235-0045,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18356,2235-0046,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18357,2235-0047,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18358,2235-0048,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18359,2235-0051,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18360,2235-0052,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18361,2235-0053,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18362,2235-0054,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18363,2235-0055,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18364,2235-0056,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18365,2235-0057,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18366,2235-0058,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18367,2235-0061,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18368,2235-0062,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18369,2235-0063,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18370,2235-0064,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18371,2235-0065,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18372,2235-0066,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18373,2235-0067,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18374,2235-0068,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18375,2235-0073,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18376,2235-0074,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
18377,2235-0075,Фреза,ГОСТ 9140-78,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
