id,tool_id,D,l_,L,z,morse_taper,execution,fi_,group,D_additional,d_,hole_type,created_at,updated_at
758,12929,37.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
759,12930,47.0,,56.0,3,,1,90.0,Тип 1,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
760,12931,47.0,,56.0,3,,1,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
761,12932,56.0,,63.0,4,,1,90.0,Тип 1,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
762,12933,56.0,,63.0,4,,1,90.0,Тип 2,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
763,12934,63.0,,63.0,4,,1,90.0,Тип 1,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
764,12935,63.0,,63.0,4,,1,90.0,Тип 2,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
765,12936,7.8,75.0,156.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
766,12937,8.0,75.0,156.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
767,12938,8.8,81.0,162.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
768,12939,9.0,81.0,162.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
769,12940,9.8,87.0,168.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
770,12941,10.0,87.0,168.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
771,12942,10.75,94.0,175.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
772,12943,11.0,94.0,175.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
773,12944,11.75,94.0,175.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
774,12945,12.0,101.0,182.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
775,12946,12.75,101.0,182.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
776,12947,13.0,101.0,182.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
777,12948,13.75,108.0,189.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
778,12949,14.0,108.0,189.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
779,12950,14.75,114.0,212.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
780,12951,14.75,114.0,212.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
781,12952,15.0,114.0,212.0,3,1.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
782,12953,15.0,114.0,212.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
783,12954,15.75,120.0,218.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
784,12955,16.0,120.0,218.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
785,12956,16.75,125.0,223.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
786,12957,17.0,125.0,223.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
787,12958,17.75,130.0,228.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
788,12959,18.0,130.0,228.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
789,12960,18.7,135.0,233.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
790,12961,19.0,135.0,233.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
791,12962,19.7,140.0,238.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
792,12963,20.0,140.0,238.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
793,12964,20.7,145.0,243.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
794,12965,21.0,145.0,243.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
795,12966,21.7,150.0,248.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
796,12967,22.0,150.0,248.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
797,12968,22.7,155.0,253.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
798,12969,23.0,155.0,253.0,3,2.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
799,12970,23.7,160.0,281.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
800,12971,24.0,160.0,281.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
801,12972,24.7,160.0,281.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
802,12973,25.0,160.0,281.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
803,12974,25.7,165.0,286.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
804,12975,26.0,165.0,286.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
805,12976,27.7,170.0,291.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
806,12977,28.0,170.0,291.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
807,12978,29.7,175.0,296.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
808,12979,30.0,175.0,296.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
809,12980,31.6,185.0,306.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
810,12981,31.6,185.0,334.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
811,12982,32.0,185.0,306.0,3,3.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
812,12983,32.0,185.0,334.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
813,12984,33.6,190.0,339.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
