id,tool_id,a_,D,l_,L,execution,fi_,mat_,group,D_1,d_,direction,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,cutter_type,h_1_,cutter_group,created_at,updated_at
122,121,,,40.0,300.0,,45.0,0,Тип 1,,,,16.0,,,14.0,,1.5,25.0,45.0,19.290046219188735,0.0,,20.0,Долбежный,,Двухсторонний,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
123,122,,,45.0,350.0,,45.0,0,Тип 1,,,,20.0,,,17.0,,2.0,32.0,45.0,20.695450734063282,0.0,,23.0,Долбежный,,Двухсторонний,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
124,123,,,55.0,450.0,,45.0,0,Тип 1,,,,25.0,,,20.0,,2.0,40.0,45.0,19.98310652189998,0.0,,31.0,Долбежный,,Двухсторонний,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
125,124,,,60.0,500.0,,45.0,0,Тип 1,,,,32.0,,,24.0,,3.0,50.0,45.0,21.80140948635181,0.0,,29.0,Долбежный,,Двухсторонний,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
126,125,4.0,,40.0,150.0,1,90.0,0,Тип 2,,,,10.0,,,,,0.2,16.0,10.0,7.594643368591445,0.0,,4.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
127,126,5.0,,40.0,150.0,1,90.0,0,Тип 2,,,,10.0,,,,,0.2,16.0,10.0,7.594643368591445,0.0,,5.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
128,127,6.0,,60.0,250.0,1,90.0,0,Тип 2,,,,12.0,,,,,0.2,20.0,10.0,7.594643368591445,0.0,,6.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
129,128,8.0,,60.0,250.0,2,90.0,0,Тип 2,,,,12.0,,30.0,6.0,,0.2,20.0,10.0,5.710593137499643,0.0,,9.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
130,129,10.0,,80.0,300.0,2,90.0,0,Тип 2,,,,16.0,,35.0,7.0,,0.2,25.0,10.0,5.000644597558433,0.0,,11.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
131,130,12.0,,80.0,300.0,2,90.0,0,Тип 2,,,,16.0,,35.0,7.0,,0.2,25.0,10.0,5.000644597558433,0.0,,13.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
132,131,14.0,,100.0,350.0,2,90.0,0,Тип 2,,,,20.0,,40.0,8.0,,0.2,32.0,10.0,4.573921259900861,0.0,,15.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
133,132,16.0,,100.0,350.0,2,90.0,0,Тип 2,,,,20.0,,40.0,8.0,,0.2,32.0,10.0,4.573921259900861,0.0,,17.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
134,133,18.0,,120.0,400.0,2,90.0,0,Тип 2,,,,25.0,,50.0,11.0,,0.2,40.0,10.0,5.237476066812513,0.0,,19.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
135,134,20.0,,150.0,500.0,2,90.0,0,Тип 2,,,,32.0,,50.0,11.0,,0.2,50.0,10.0,4.194182788390857,0.0,,21.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
136,135,24.0,,180.0,500.0,2,90.0,0,Тип 2,,,,32.0,,50.0,11.0,,0.2,50.0,10.0,3.4970597392982494,0.0,,25.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
137,136,28.0,,250.0,600.0,2,90.0,0,Тип 2,,,,40.0,,60.0,13.0,,0.2,63.0,10.0,2.976699468111743,0.0,,29.0,Долбежный,,Прорезной,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
138,137,3.0,6.0,,90.0,1,90.0,0,Тип 3,7.0,,,,5.5,40.0,,,0.2,,10.0,10.0,0.0,,3.0,Долбежный,4.5,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
139,138,4.0,8.0,,100.0,1,90.0,0,Тип 3,10.0,,,,7.6,50.0,,,0.2,,10.0,10.0,0.0,,4.0,Долбежный,6.5,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
140,139,5.0,12.0,,110.0,1,90.0,0,Тип 3,14.0,,,,11.5,50.0,,,0.2,,10.0,10.0,0.0,,5.0,Долбежный,10.0,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
141,140,6.0,,90.0,280.0,2,90.0,0,Тип 3,18.0,16.0,,20.0,15.4,,,,0.2,20.0,10.0,10.0,0.0,,6.0,Долбежный,14.0,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
142,141,8.0,,100.0,300.0,2,90.0,0,Тип 3,24.0,22.0,,25.0,21.2,,,,0.2,25.0,10.0,10.0,0.0,,8.0,Долбежный,18.2,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
143,142,10.0,,130.0,350.0,2,90.0,0,Тип 3,28.0,25.0,,25.0,24.0,,,,0.2,25.0,10.0,10.0,0.0,,10.0,Долбежный,21.0,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
144,143,12.0,,150.0,400.0,2,90.0,0,Тип 3,28.0,25.0,,32.0,23.7,,,,0.2,32.0,10.0,10.0,0.0,,12.0,Долбежный,20.7,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
145,144,14.0,,160.0,400.0,2,90.0,0,Тип 3,30.0,28.0,,32.0,25.7,,,,0.2,32.0,10.0,10.0,0.0,,14.0,Долбежный,21.7,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
146,145,10.0,,130.0,300.0,,90.0,0,Тип 3,,18.0,,20.0,30.0,30.0,,45.0,0.2,20.0,10.0,8.0,0.0,,10.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
147,146,12.0,,130.0,300.0,,90.0,0,Тип 3,,18.0,,20.0,30.0,30.0,,45.0,0.2,20.0,10.0,8.0,0.0,,12.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
148,147,14.0,,150.0,350.0,,90.0,0,Тип 3,,22.0,,25.0,36.0,40.0,,55.0,0.2,25.0,10.0,8.0,0.0,,14.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
149,148,16.0,,160.0,350.0,,90.0,0,Тип 3,,22.0,,25.0,36.0,40.0,,55.0,0.2,25.0,10.0,8.0,0.0,,16.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
150,149,18.0,,160.0,350.0,,90.0,0,Тип 3,,28.0,,32.0,45.0,50.0,,70.0,0.2,32.0,10.0,8.0,0.0,,18.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
151,150,20.0,,200.0,400.0,,90.0,0,Тип 3,,28.0,,32.0,45.0,50.0,,70.0,0.2,32.0,10.0,8.0,0.0,,20.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
152,151,20.0,,250.0,450.0,,90.0,0,Тип 3,,35.0,,40.0,60.0,65.0,,90.0,0.2,40.0,10.0,8.0,0.0,,20.0,Долбежный,,Для шпоночных пазов,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
