id,tool_id,a_,D,l_,L,execution,fi_,mat_,group,D_1,d_,direction,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,cutter_type,h_1_,cutter_group,created_at,updated_at
28,27,,,,140.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
29,28,,,,170.0,1.0,45.0,1,,,,Правые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
30,29,,,,170.0,1.0,45.0,1,,,,Левые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
31,30,,,,200.0,1.0,45.0,1,,,,Правые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
32,31,,,,200.0,1.0,45.0,1,,,,Левые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
33,32,,,,240.0,1.0,45.0,1,,,,Правые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
34,33,,,,240.0,1.0,45.0,1,,,,Левые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
35,34,,,,80.0,2.0,45.0,1,,,,Правые,16.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
36,35,,,,80.0,2.0,45.0,1,,,,Левые,16.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
37,36,,,,120.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
38,37,,,,120.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
39,38,,,,100.0,1.0,45.0,1,,,,Правые,20.0,,,,,0.2,20.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
40,39,,,,100.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,20.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
41,40,,,,140.0,,45.0,1,,,,Правые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
42,41,,,,140.0,,45.0,1,,,,Левые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
43,42,,,,170.0,1.0,45.0,1,,,,Правые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
44,43,,,,170.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
45,44,,,,200.0,1.0,45.0,1,,,,Правые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
46,45,,,,200.0,1.0,45.0,1,,,,Левые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
47,46,,,,240.0,1.0,45.0,1,,,,Правые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
48,47,,,,240.0,1.0,45.0,1,,,,Левые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
49,48,,,,100.0,2.0,45.0,1,,,,Правые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
50,49,,,,100.0,2.0,45.0,1,,,,Левые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
51,50,,,,100.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
52,51,,,,100.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
53,52,,,,120.0,1.0,45.0,1,,,,Правые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
54,53,,,,120.0,1.0,45.0,1,,,,Левые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
