id,D,L,l,d,z,a_,d_1_,d_2_,l_,L_,f_,q_,morse_taper,execution,fi_,type_cutter_,material,type_of_cutting_part_,group,tool_type,standard,D_1,f_additional_,D_additional,P,l_nominal_,d_,d_additional_,d_1_additional_,direction,B,c_,c_additional_,h_,R,R_additional,m_n0_,L_additional,K,K_additional,accuracy,D_2,l_1_,f_deviation_,g_,g_deviation_,zxd_xD,z_0_,series,groove_accuracy,m_0_,subgroup,h_additional_,m_,metric_shank,b_,S,t_,d_0_,l_additional_,omega_,l_2_,r_,r_additional_,B_additional,H,omega_u_,D_deviation,c_general_purpose_,c_keyway_,metric_taper,alpha_,created_at,updated_at
428,8.0,59.0,,,2.0,,,,19.0,,,,,2.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
429,8.0,78.0,,,2.0,,,,38.0,,,,,1.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
430,8.0,78.0,,,2.0,,,,38.0,,,,,2.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
431,10.0,72.0,,,2.0,,,,22.0,,,,,1.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
432,10.0,72.0,,,2.0,,,,22.0,,,,,2.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
433,10.0,95.0,,,2.0,,,,45.0,,,,,1.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
434,10.0,95.0,,,2.0,,,,45.0,,,,,2.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
435,12.0,81.0,,,2.0,,,,26.0,,,,,1.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
436,12.0,81.0,,,2.0,,,,26.0,,,,,2.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
437,12.0,108.0,,,2.0,,,,53.0,,,,,1.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
438,12.0,108.0,,,2.0,,,,53.0,,,,,2.0,90.0,Концевая,"0, 1",1.0,,Фреза,ГОСТ 16225-81,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
439,10.0,70.0,,,,,,,40.0,,,,,,90.0,Концевая,1,2.0,,Фреза,ГОСТ 20533-75,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
440,12.0,80.0,,,,,,,45.0,,,,,,90.0,Концевая,1,2.0,,Фреза,ГОСТ 20533-75,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
441,14.0,90.0,,,,,,,48.0,,,,,,90.0,Концевая,1,2.0,,Фреза,ГОСТ 20533-75,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
442,14.0,90.0,,,,,,,48.0,,,,,,90.0,Концевая,1,2.0,,Фреза,ГОСТ 20533-75,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
443,14.0,111.0,,,4.0,,,,26.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
444,14.0,111.0,,,4.0,,,,26.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
445,16.0,117.0,,,4.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
446,16.0,117.0,,,4.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
447,18.0,117.0,,,4.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
448,18.0,117.0,,,4.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
449,20.0,140.0,,,5.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
450,20.0,140.0,,,5.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
451,22.0,140.0,,,5.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
452,22.0,140.0,,,5.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
453,25.0,147.0,,,5.0,,,,45.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
454,25.0,147.0,,,5.0,,,,45.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
455,28.0,170.0,,,5.0,,,,45.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
456,28.0,170.0,,,5.0,,,,45.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
457,32.0,178.0,,,6.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
458,32.0,178.0,,,6.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
459,36.0,178.0,,,6.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
460,36.0,178.0,,,6.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
461,40.0,188.0,,,6.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
462,40.0,188.0,,,6.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
463,45.0,188.0,,,6.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
464,45.0,188.0,,,6.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
465,45.0,221.0,,,6.0,,,,63.0,,,,5,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
466,45.0,221.0,,,6.0,,,,63.0,,,,5,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
467,50.0,200.0,,,6.0,,,,75.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
468,50.0,200.0,,,6.0,,,,75.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
469,50.0,233.0,,,6.0,,,,75.0,,,,5,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
470,50.0,233.0,,,6.0,,,,75.0,,,,5,А,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
471,14.0,111.0,,,4.0,,,,26.0,,,,2,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
472,16.0,117.0,,,4.0,,,,32.0,,,,2,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
473,18.0,117.0,,,4.0,,,,32.0,,,,2,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
474,20.0,140.0,,,5.0,,,,38.0,,,,3,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
475,22.0,140.0,,,5.0,,,,38.0,,,,3,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
476,25.0,147.0,,,5.0,,,,45.0,,,,3,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
477,28.0,170.0,,,5.0,,,,45.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
478,32.0,178.0,,,6.0,,,,53.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
479,36.0,178.0,,,6.0,,,,53.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
480,40.0,188.0,,,6.0,,,,63.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
481,45.0,188.0,,,6.0,,,,63.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
482,45.0,221.0,,,6.0,,,,63.0,,,,5,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
483,50.0,200.0,,,6.0,,,,75.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
484,50.0,233.0,,,6.0,,,,75.0,,,,5,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
485,56.0,200.0,,,8.0,,,,75.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
486,56.0,233.0,,,8.0,,,,75.0,,,,4,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
487,63.0,248.0,,,8.0,,,,90.0,,,,5,Б,90.0,Концевая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
488,14.0,111.0,,,3.0,,,,26.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
489,14.0,111.0,,,3.0,,,,26.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
490,16.0,117.0,,,3.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
491,16.0,117.0,,,3.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
492,18.0,117.0,,,3.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
493,18.0,117.0,,,3.0,,,,32.0,,,,2,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
494,20.0,140.0,,,3.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
495,20.0,140.0,,,3.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
496,22.0,140.0,,,3.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
497,22.0,140.0,,,3.0,,,,38.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
498,25.0,147.0,,,3.0,,,,45.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
499,25.0,147.0,,,3.0,,,,45.0,,,,3,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
500,28.0,170.0,,,3.0,,,,45.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
501,28.0,170.0,,,3.0,,,,45.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
502,32.0,178.0,,,4.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
503,32.0,178.0,,,4.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
504,36.0,178.0,,,4.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
505,36.0,178.0,,,4.0,,,,53.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
506,40.0,188.0,,,4.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
507,40.0,188.0,,,4.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
508,45.0,188.0,,,4.0,,,,63.0,,,,4,А,90.0,Концевая,"0, 1",1.0,Тип 2,Фреза,ГОСТ 17026-71,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
