id,D,L,l,d,z,a_,d_1_,d_2_,l_,L_,f_,q_,morse_taper,execution,fi_,type_cutter_,material,type_of_cutting_part_,group,tool_type,standard,D_1,f_additional_,D_additional,P,l_nominal_,d_,d_additional_,d_1_additional_,direction,B,c_,c_additional_,h_,R,R_additional,m_n0_,L_additional,K,K_additional,accuracy,D_2,l_1_,f_deviation_,g_,g_deviation_,zxd_xD,z_0_,series,groove_accuracy,m_0_,subgroup,h_additional_,m_,metric_shank,b_,S,t_,d_0_,l_additional_,omega_,l_2_,r_,r_additional_,B_additional,H,omega_u_,D_deviation,c_general_purpose_,c_keyway_,metric_taper,alpha_,created_at,updated_at
168,50.0,36.0,,,,,,,20.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,22.0,,,Праворежущая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
169,50.0,36.0,,,,,,,20.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,22.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
170,63.0,40.0,,,,,,,22.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,27.0,,,Праворежущая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
171,63.0,40.0,,,,,,,22.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,27.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
172,80.0,45.0,,,,,,,25.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,32.0,,,Праворежущая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
173,80.0,45.0,,,,,,,25.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,32.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
174,100.0,50.0,,,8.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,32.0,,,Праворежущие,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
175,100.0,50.0,,,8.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,32.0,,,Леворежущая,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
176,125.0,55.0,,,8.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,40.0,,,Праворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
177,125.0,55.0,,,8.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,40.0,,,Леворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
178,160.0,60.0,,,10.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50.0,,,Праворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
179,160.0,60.0,,,10.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50.0,,,Леворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
180,200.0,60.0,,,12.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50.0,,,Праворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
181,200.0,60.0,,,12.0,,,,,,,,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50.0,,,Леворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
182,100.0,39.0,,,10.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,32.0,,,Праворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
183,100.0,39.0,,,10.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,32.0,,,Леворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
184,125.0,42.0,,,12.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,40.0,,,Праворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
185,125.0,42.0,,,12.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,40.0,,,Леворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
186,160.0,46.0,,,16.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Праворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
187,160.0,46.0,,,16.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Леворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
188,200.0,46.0,,,20.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Праворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
189,200.0,46.0,,,20.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Леворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
190,50.0,167.0,,,5.0,,,,,,,,4,,0.0,Торцовая,1,0.0,,Фреза,ГОСТ 22088-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
191,63.0,167.0,,,6.0,,,,,,,,4,,0.0,Торцовая,1,0.0,,Фреза,ГОСТ 22088-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
192,80.0,197.0,,,8.0,,,,,,,,5,,0.0,Торцовая,1,0.0,,Фреза,ГОСТ 22088-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
193,50.0,49.0,,,6.0,,40.0,,20.0,,,,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
194,100.0,44.0,,,4.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,32.0,,,Праворежущая,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
195,100.0,44.0,,,4.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,32.0,,,Леворежущие,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
196,80.0,60.0,,,6.0,,58.0,,28.0,,,,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
197,125.0,46.0,,,6.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,40.0,,,Праворежущая,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
198,125.0,46.0,,,6.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,40.0,,,Леворежущие,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
199,100.0,70.0,,,8.0,,70.0,,30.0,,,,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
200,160.0,48.0,,,6.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Праворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
201,160.0,48.0,,,6.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Леворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
202,100.0,70.0,,,12.0,,70.0,,30.0,,,,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
203,125.0,80.0,,,8.0,,90.0,,45.0,,,,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
204,200.0,48.0,,,8.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Праворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
205,125.0,80.0,,,10.0,,90.0,,45.0,,,,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
206,200.0,48.0,,,8.0,,,,,,,,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Леворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
207,11.0,50.0,,,4.0,,,,20.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,11.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
