id,tool_id,D,d_1_,d_2_,l_,L,z,morse_taper,execution,fi_,mat_,group,D_1,d_,h_,l_1_,l_2_,r_,l_0_,reamer_type,fi_1_,gamma_,lambda_,reamer_taper,d_2_additional,created_at,updated_at
28,13272,6.3,,,47.0,93.0,6,,1,1.0,,,,6.3,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
29,13273,6.5,,,47.0,93.0,6,,1,1.0,,,,6.5,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
30,13274,7.0,,,54.0,107.0,6,,1,1.0,,,,7.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
31,13275,7.5,,,54.0,107.0,6,,1,1.0,,,,7.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
32,13276,8.0,,,58.0,115.0,6,,1,1.0,,,,8.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
33,13277,8.5,,,58.0,115.0,6,,1,1.0,,,,8.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
34,13278,9.0,,,62.0,124.0,6,,1,1.0,,,,9.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
35,13279,9.5,,,62.0,124.0,6,,1,1.0,,,,9.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
36,13280,10.0,,,66.0,133.0,6,,1,1.0,,,,10.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
37,13281,10.5,,,66.0,133.0,8,,1,1.0,,,,10.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
38,13282,11.0,,,71.0,142.0,8,,1,1.0,,,,11.0,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
39,13283,11.5,,,71.0,142.0,8,,1,1.0,,,,11.5,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
40,13284,12.0,,,76.0,152.0,8,,1,1.0,,,,12.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
41,13285,13.0,,,76.0,152.0,8,,1,1.0,,,,13.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
42,13286,14.0,,,81.0,163.0,8,,1,1.0,,,,14.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
43,13287,15.0,,,81.0,163.0,8,,1,1.0,,,,15.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
44,13288,16.0,,,87.0,175.0,8,,1,1.0,,,,16.0,,21.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
45,13289,17.0,,,87.0,175.0,8,,1,1.0,,,,17.0,,23.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
46,13290,18.0,,,93.0,188.0,8,,1,1.0,,,,18.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
47,13291,19.0,,,93.0,188.0,8,,1,1.0,,,,19.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
48,13292,20.0,,,100.0,201.0,8,,1,1.0,,,,20.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
49,13293,21.0,,,100.0,201.0,8,,1,1.0,,,,21.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
50,13294,22.0,,,107.0,215.0,8,,1,1.0,,,,22.0,,26.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
