index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
173,2210-0506,,80.0,,,25.0,45.0,,,,,,90.0,Торцовая,"0, 1",1.0,,Фреза,ГОСТ 16222-81,,,,,,32.0,H7,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2214-0001,,100.0,,,,50.0,,,8.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,32,,,Праворежущие,,,,10.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
175,2214-0002,,100.0,,,,50.0,,,8.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,32,,,Леворежущая,,,,10.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
176,2214-0003,,125.0,,,,55.0,,,8.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,40,,,Праворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
177,2214-0004,,125.0,,,,55.0,,,8.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,40,,,Леворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
178,2214-0005,,160.0,,,,60.0,,,10.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50,,,Праворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
179,2214-0006,,160.0,,,,60.0,,,10.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50,,,Леворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
180,2214-0007,,200.0,,,,60.0,,,12.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50,,,Праворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
181,2214-0008,,200.0,,,,60.0,,,12.0,,,45.0,Торцовая,1,0.0,,Фреза,ГОСТ 24359-80,,,,,,50,,,Леворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
182,2214-0153,,100.0,,,,39.0,,,10.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,32.0,,,Праворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
