index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
1482,2223-3686,,14.0,,,32.0,125.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,2223-3691,,14.0,,,38.0,131.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,2223-3692,,14.0,,,38.0,131.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,2223-3693,,14.0,,,38.0,131.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,2223-3694,,14.0,,,38.0,131.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,2223-3695,,14.0,,,38.0,131.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,2223-3696,,14.0,,,38.0,131.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,2223-3701,,14.0,,,45.0,138.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,2223-3702,,14.0,,,45.0,138.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,2223-3703,,14.0,,,45.0,138.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,2223-3704,,14.0,,,45.0,138.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,2223-3705,,14.0,,,45.0,138.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,2223-3706,,14.0,,,45.0,138.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,2223-3711,,14.0,,,53.0,146.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,2223-3712,,14.0,,,53.0,146.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,2223-3713,,14.0,,,53.0,146.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,2223-3714,,14.0,,,53.0,146.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,2223-3715,,14.0,,,53.0,146.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,2223-3716,,14.0,,,53.0,146.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,2223-3721,,14.0,,,63.0,156.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,2223-3722,,14.0,,,63.0,156.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2223-3723,,14.0,,,63.0,156.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2223-3724,,14.0,,,63.0,156.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,2223-3725,,14.0,,,63.0,156.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,2223-3726,,14.0,,,63.0,156.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2223-3731,,14.0,,,70.0,163.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,2223-3732,,14.0,,,70.0,163.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,2223-3733,,14.0,,,70.0,163.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,2223-3734,,14.0,,,70.0,163.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,2223-3735,,14.0,,,70.0,163.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2223-3736,,14.0,,,70.0,163.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2223-3741,,16.0,,,32.0,126.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2223-3742,,16.0,,,32.0,126.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2223-3743,,16.0,,,32.0,126.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,2223-3744,,16.0,,,32.0,126.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,2223-3745,,16.0,,,32.0,126.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,2223-3746,,16.0,,,32.0,126.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2223-3751,,16.0,,,38.0,132.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,2223-3752,,16.0,,,38.0,132.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2223-3753,,16.0,,,38.0,132.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,2223-3754,,16.0,,,38.0,132.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,2223-3755,,16.0,,,38.0,132.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2223-3756,,16.0,,,38.0,132.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2223-3761,,16.0,,,45.0,139.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,2223-3762,,16.0,,,45.0,139.0,,,3.0,2,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,2223-3763,,16.0,,,45.0,139.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2223-3764,,16.0,,,45.0,139.0,,,3.0,2,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2223-3765,,16.0,,,45.0,139.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2223-3766,,16.0,,,45.0,139.0,,,3.0,2,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2223-3771,,16.0,,,53.0,164.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2223-3772,,16.0,,,53.0,164.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2223-3773,,16.0,,,53.0,164.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,2223-3774,,16.0,,,53.0,164.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,2223-3775,,16.0,,,53.0,164.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,2223-3776,,16.0,,,53.0,164.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2223-3781,,16.0,,,63.0,174.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2223-3782,,16.0,,,63.0,174.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2223-3783,,16.0,,,63.0,174.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,2223-3784,,16.0,,,63.0,174.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2223-3785,,16.0,,,63.0,174.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,2223-3786,,16.0,,,63.0,174.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,2223-3791,,16.0,,,70.0,181.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,2223-3792,,16.0,,,70.0,181.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,2223-3793,,16.0,,,70.0,181.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,2223-3794,,16.0,,,70.0,181.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,2223-3795,,16.0,,,70.0,181.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,2223-3796,,16.0,,,70.0,181.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,2223-3801,,16.0,,,80.0,191.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,2223-3802,,16.0,,,80.0,191.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,2223-3803,,16.0,,,80.0,191.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,2223-3804,,16.0,,,80.0,191.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,2223-3805,,16.0,,,80.0,191.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,2223-3806,,16.0,,,80.0,191.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,2223-3811,,18.0,,,32.0,143.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,2223-3812,,18.0,,,32.0,143.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,2223-3813,,18.0,,,32.0,143.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2223-3814,,18.0,,,32.0,143.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,2223-3815,,18.0,,,32.0,143.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2223-3816,,18.0,,,32.0,143.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,2223-3821,,18.0,,,38.0,149.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,2223-3822,,18.0,,,38.0,149.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,2223-3823,,18.0,,,38.0,149.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,2223-3824,,18.0,,,38.0,149.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,2223-3825,,18.0,,,38.0,149.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,2223-3826,,18.0,,,38.0,149.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,2223-3831,,18.0,,,45.0,156.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2223-3832,,18.0,,,45.0,156.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,2223-3833,,18.0,,,45.0,156.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,2223-3834,,18.0,,,45.0,156.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,2223-3835,,18.0,,,45.0,156.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,2223-3836,,18.0,,,45.0,156.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,2223-3841,,18.0,,,53.0,164.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,2223-3842,,18.0,,,53.0,164.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,2223-3843,,18.0,,,53.0,164.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,2223-3844,,18.0,,,53.0,164.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,2223-3845,,18.0,,,53.0,164.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,2223-3846,,18.0,,,53.0,164.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,2223-3851,,18.0,,,63.0,174.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,2223-3852,,18.0,,,63.0,174.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,2223-3853,,18.0,,,63.0,174.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2223-3854,,18.0,,,63.0,174.0,,,3.0,3,2,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,2223-3855,,18.0,,,63.0,174.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,2223-3856,,18.0,,,63.0,174.0,,,3.0,3,3,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,2223-3861,,18.0,,,75.0,186.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,2223-3862,,18.0,,,75.0,186.0,,,3.0,3,1,90.0,Концевая,0,1.0,Тип 2,Фреза,ГОСТ 23248-78,,,,,,,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
