index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
13274,2360-0128,7.0,,,54.0,107.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,7.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13275,2360-0129,7.5,,,54.0,107.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,7.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13276,2360-0130,8.0,,,58.0,115.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,8.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13277,2360-0131,8.5,,,58.0,115.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,8.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13278,2360-0132,9.0,,,62.0,124.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,9.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13279,2360-0133,9.5,,,62.0,124.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,9.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13280,2360-0134,10.0,,,66.0,133.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,10.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13281,2360-0135,10.5,,,66.0,133.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,10.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13282,2360-0136,11.0,,,71.0,142.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,11.0,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13283,2360-0137,11.5,,,71.0,142.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,11.5,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13284,2360-0138,12.0,,,76.0,152.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,12.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13285,2360-0139,13.0,,,76.0,152.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,13.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13286,2360-0140,14.0,,,81.0,163.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,14.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13287,2360-0141,15.0,,,81.0,163.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,15.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13288,2360-0142,16.0,,,87.0,175.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,16.0,,21.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13289,2360-0143,17.0,,,87.0,175.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,17.0,,23.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13290,2360-0144,18.0,,,93.0,188.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,18.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13291,2360-0145,19.0,,,93.0,188.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,19.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13292,2360-0146,20.0,,,100.0,201.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,20.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13293,2360-0147,21.0,,,100.0,201.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,21.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13294,2360-0148,22.0,,,107.0,215.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,22.0,,26.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13295,2360-0149,23.0,,,107.0,215.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,23.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13296,2360-0150,24.0,,,115.0,231.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,24.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13297,2360-0151,25.0,,,115.0,231.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,25.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13298,2360-0152,26.0,,,115.0,231.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,26.0,,31.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13299,2360-0153,27.0,,,124.0,247.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,27.0,,31.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13300,2360-0154,28.0,,,124.0,247.0,8.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,28.0,,31.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13301,2360-0155,30.0,,,124.0,247.0,10.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,30.0,,35.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13302,2360-0156,32.0,,,133.0,265.0,10.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,32.0,,35.0,110.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13303,2360-0157,34.0,,,142.0,284.0,10.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,34.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13304,2360-0158,35.0,,,142.0,284.0,10.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,35.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13305,2360-0159,36.0,,,142.0,284.0,10.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,36.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13306,2360-0160,37.0,,,152.0,305.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,37.0,,38.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13307,2360-0161,38.0,,,152.0,305.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,38.0,,38.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13308,2360-0162,40.0,,,152.0,305.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,40.0,,42.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13309,2360-0163,42.0,,,152.0,305.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,42.0,,42.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13310,2360-0164,44.0,,,163.0,326.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,44.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13311,2360-0165,45.0,,,163.0,326.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,45.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13312,2360-0166,46.0,,,163.0,326.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,46.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13313,2360-0167,47.0,,,163.0,326.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,47.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13314,2360-0168,48.0,,,174.0,347.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,48.0,,47.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13315,2360-0169,50.0,,,174.0,347.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,50.0,,47.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13316,2360-0170,52.0,,,174.0,347.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,52.0,,52.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13317,2360-0171,55.0,,,184.0,367.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,55.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13318,2360-0172,56.0,,,184.0,367.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,56.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13319,2360-0173,58.0,,,184.0,367.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,58.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13320,2360-0174,60.0,,,184.0,367.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,60.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13321,2360-0175,62.0,,,194.0,387.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,62.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13322,2360-0176,63.0,,,194.0,387.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,63.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13323,2360-0177,67.0,,,194.0,387.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,67.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13324,2360-0178,71.0,,,203.0,406.0,12.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,71.0,,57.0,160.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13325,2360-0181,3.0,,,31.0,62.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,3.0,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13326,2360-0182,3.2,,,31.0,62.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,3.2,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13327,2360-0184,3.5,,,35.0,71.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,3.5,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13328,2360-0185,3.6,,,35.0,71.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,3.6,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13329,2360-0186,3.8,,,35.0,71.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,3.8,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13330,2360-0187,4.0,,,38.0,76.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,4.0,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13331,2360-0188,4.2,,,38.0,76.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,4.2,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13332,2360-0189,4.5,,,41.0,81.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,4.5,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13333,2360-0190,4.8,,,41.0,81.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,4.8,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13334,2360-0191,5.0,,,44.0,87.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,5.0,,12.0,36.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13335,2360-0192,5.2,,,44.0,87.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,5.2,,12.0,36.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13336,2360-0194,6.0,,,47.0,93.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,6.0,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13337,2360-0195,6.3,,,47.0,93.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,6.3,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13338,2360-0196,6.5,,,47.0,93.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,6.5,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13339,2360-0197,7.0,,,54.0,107.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,7.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13340,2360-0198,7.5,,,54.0,107.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,7.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13341,2360-0199,8.0,,,58.0,115.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,8.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13342,2360-0200,8.5,,,58.0,115.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,8.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13343,2360-0201,9.0,,,62.0,124.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,9.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13344,2360-0202,9.5,,,62.0,124.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,9.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13345,2360-0203,10.0,,,66.0,133.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,10.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13346,2360-0204,10.5,,,66.0,133.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,10.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13347,2360-0205,11.0,,,71.0,142.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,11.0,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13348,2360-0206,11.5,,,71.0,142.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,11.5,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13349,2360-0207,12.0,,,76.0,152.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,12.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13350,2360-0208,13.0,,,76.0,152.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,13.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13351,2360-0209,14.0,,,81.0,163.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,14.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13352,2360-0210,15.0,,,81.0,163.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,15.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
