index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
139,2184-0553,5.0,12.0,,110.0,1,90.0,0,Тип 3,Резец,ГОСТ 10046-72,14.0,,,,11.5,50.0,,,0.2,,10.0,10.0,0.0,,5.0,Долбежный,10.0,Для шпоночных пазов
140,2184-0554,6.0,,90.0,280.0,2,90.0,0,Тип 3,Резец,ГОСТ 10046-72,18.0,16.0,,20.0,15.4,,,,0.2,20.0,10.0,10.0,0.0,,6.0,Долбежный,14.0,Для шпоночных пазов
141,2184-0555,8.0,,100.0,300.0,2,90.0,0,Тип 3,Резец,ГОСТ 10046-72,24.0,22.0,,25.0,21.2,,,,0.2,25.0,10.0,10.0,0.0,,8.0,Долбежный,18.2,Для шпоночных пазов
142,2184-0556,10.0,,130.0,350.0,2,90.0,0,Тип 3,Резец,ГОСТ 10046-72,28.0,25.0,,25.0,24.0,,,,0.2,25.0,10.0,10.0,0.0,,10.0,Долбежный,21.0,Для шпоночных пазов
143,2184-0557,12.0,,150.0,400.0,2,90.0,0,Тип 3,Резец,ГОСТ 10046-72,28.0,25.0,,32.0,23.7,,,,0.2,32.0,10.0,10.0,0.0,,12.0,Долбежный,20.7,Для шпоночных пазов
144,2184-0558,14.0,,160.0,400.0,2,90.0,0,Тип 3,Резец,ГОСТ 10046-72,30.0,28.0,,32.0,25.7,,,,0.2,32.0,10.0,10.0,0.0,,14.0,Долбежный,21.7,Для шпоночных пазов
145,2184-0571,10.0,,130.0,300.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,18.0,,20.0,30.0,30.0,,45.0,0.2,20.0,10.0,8.0,0.0,,10.0,Долбежный,,Для шпоночных пазов
146,2184-0572,12.0,,130.0,300.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,18.0,,20.0,30.0,30.0,,45.0,0.2,20.0,10.0,8.0,0.0,,12.0,Долбежный,,Для шпоночных пазов
147,2184-0573,14.0,,150.0,350.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,22.0,,25.0,36.0,40.0,,55.0,0.2,25.0,10.0,8.0,0.0,,14.0,Долбежный,,Для шпоночных пазов
148,2184-0574,16.0,,160.0,350.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,22.0,,25.0,36.0,40.0,,55.0,0.2,25.0,10.0,8.0,0.0,,16.0,Долбежный,,Для шпоночных пазов
149,2184-0575,18.0,,160.0,350.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,28.0,,32.0,45.0,50.0,,70.0,0.2,32.0,10.0,8.0,0.0,,18.0,Долбежный,,Для шпоночных пазов
150,2184-0576,20.0,,200.0,400.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,28.0,,32.0,45.0,50.0,,70.0,0.2,32.0,10.0,8.0,0.0,,20.0,Долбежный,,Для шпоночных пазов
151,2184-0577,20.0,,250.0,450.0,,90.0,0,Тип 3,Резец,ГОСТ 10046-72,,35.0,,40.0,60.0,65.0,,90.0,0.2,40.0,10.0,8.0,0.0,,20.0,Долбежный,,Для шпоночных пазов
