index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_1,P,d_,Направление,B,K,Точность,D_2,l_1_,Серия,omega_,r_,D_ном.,D_1_доп.,D_2_доп.,L_1,L_2,L_3,L_3_доп.,Разряд,Тип_хвостовика,l_откл._,L_откл.,r_откл._,l_0_,k_,K_откл.,a_откл._
5152,2300-3128,,11.5,,,47.0,95.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5153,2300-3129,,11.7,,,47.0,95.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5154,2300-3130,,11.8,,,47.0,95.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5155,2300-3131,,11.9,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5156,2300-3132,,12.0,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5157,2300-3133,,12.1,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5158,2300-3134,,12.2,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5159,2300-3135,,12.3,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5160,2300-3136,,12.4,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5161,2300-3137,,12.5,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5162,2300-3138,,12.6,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5163,2300-3139,,12.7,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5164,2300-3140,,12.8,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5165,2300-3141,,13.0,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5166,2300-3142,,13.1,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5167,2300-3143,,13.2,,,51.0,102.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5168,2300-3144,,13.3,,,54.0,107.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5169,2300-3145,,13.5,,,54.0,107.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5170,2300-3146,,13.7,,,54.0,107.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5171,2300-3147,,13.8,,,54.0,107.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5172,2300-3148,,14.0,,,54.0,107.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5173,2300-3149,,14.25,,,56.0,111.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5174,2300-3150,,14.5,,,56.0,111.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5175,2300-3151,,14.75,,,56.0,111.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5176,2300-3152,,15.0,,,56.0,111.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5177,2300-3153,,15.25,,,58.0,115.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5178,2300-3154,,15.4,,,58.0,115.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5179,2300-3155,,15.5,,,58.0,115.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5180,2300-3156,,15.75,,,58.0,115.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5181,2300-3157,,16.0,,,58.0,115.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5182,2300-3158,,16.25,,,60.0,119.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5183,2300-3159,,16.5,,,60.0,119.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5184,2300-3160,,16.75,,,60.0,119.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5185,2300-3161,,17.0,,,60.0,119.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5186,2300-3162,,17.25,,,62.0,123.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5187,2300-3163,,17.4,,,62.0,123.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5188,2300-3164,,17.5,,,62.0,123.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5189,2300-3165,,17.75,,,62.0,123.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5190,2300-3166,,18.0,,,62.0,123.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5191,2300-3167,,18.25,,,64.0,127.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5192,2300-3168,,18.5,,,64.0,127.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5193,2300-3169,,18.75,,,64.0,127.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5194,2300-3170,,19.0,,,64.0,127.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5195,2300-3171,,19.25,,,66.0,131.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5196,2300-3172,,19.4,,,66.0,131.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5197,2300-3173,,19.5,,,66.0,131.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5198,2300-3174,,19.75,,,66.0,131.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5199,2300-3175,,20.0,,,66.0,131.0,,2.0,,1,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5200,2300-3201,,3.1,,,18.0,49.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5201,2300-3202,,3.15,,,18.0,49.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5202,2300-3203,,3.2,,,18.0,49.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5203,2300-3204,,3.3,,,18.0,49.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5204,2300-3205,,3.35,,,18.0,49.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5205,2300-3206,,3.4,,,20.0,52.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5206,2300-3207,,3.5,,,20.0,52.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5207,2300-3208,,3.6,,,20.0,52.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5208,2300-3209,,3.7,,,20.0,52.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5209,2300-3210,,3.8,,,22.0,55.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5210,2300-3211,,3.9,,,22.0,55.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5211,2300-3212,,4.0,,,22.0,55.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5212,2300-3213,,4.1,,,22.0,55.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5213,2300-3214,,4.2,,,22.0,55.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5214,2300-3215,,4.25,,,22.0,55.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5215,2300-3216,,4.3,,,24.0,58.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5216,2300-3217,,4.4,,,24.0,58.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5217,2300-3218,,4.5,,,24.0,58.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5218,2300-3219,,4.6,,,24.0,58.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5219,2300-3220,,4.7,,,24.0,58.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5220,2300-3221,,4.8,,,26.0,62.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5221,2300-3222,,4.9,,,26.0,62.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5222,2300-3223,,6.0,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5223,2300-3223,,5.0,,,26.0,62.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5224,2300-3224,,5.1,,,26.0,62.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5225,2300-3225,,5.2,,,26.0,62.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5226,2300-3226,,5.3,,,26.0,62.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5227,2300-3227,,5.4,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5228,2300-3228,,5.5,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5229,2300-3229,,5.6,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5230,2300-3230,,5.7,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5231,2300-3231,,5.8,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5232,2300-3232,,5.9,,,28.0,66.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5233,2300-3234,,6.1,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5234,2300-3235,,6.2,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5235,2300-3236,,6.3,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5236,2300-3237,,6.4,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5237,2300-3238,,6.5,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5238,2300-3239,,6.6,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5239,2300-3240,,6.7,,,31.0,70.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5240,2300-3241,,6.8,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5241,2300-3242,,6.9,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5242,2300-3243,,7.0,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5243,2300-3244,,7.1,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5244,2300-3245,,7.6,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5245,2300-3245,,7.2,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5246,2300-3246,,7.3,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5247,2300-3247,,7.5,,,34.0,74.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5248,2300-3249,,7.7,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5249,2300-3250,,7.8,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5250,2300-3251,,7.9,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5251,2300-3252,,8.0,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5252,2300-3253,,8.1,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5253,2300-3254,,8.2,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5254,2300-3255,,8.3,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5255,2300-3256,,8.4,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5256,2300-3257,,8.5,,,37.0,79.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5257,2300-3258,,8.6,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5258,2300-3259,,8.7,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5259,2300-3260,,8.8,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5260,2300-3261,,8.9,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5261,2300-3262,,9.0,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5262,2300-3263,,9.1,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5263,2300-3264,,9.2,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5264,2300-3265,,9.3,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5265,2300-3266,,9.4,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5266,2300-3267,,9.5,,,40.0,84.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5267,2300-3268,,9.6,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5268,2300-3269,,9.7,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5269,2300-3270,,9.8,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5270,2300-3271,,9.9,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5271,2300-3272,,10.0,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5272,2300-3273,,10.1,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5273,2300-3274,,10.2,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5274,2300-3275,,10.3,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5275,2300-3276,,10.4,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5276,2300-3277,,10.5,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5277,2300-3278,,10.6,,,43.0,89.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5278,2300-3279,,10.7,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5279,2300-3280,,10.8,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5280,2300-3281,,10.9,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5281,2300-3282,,11.0,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5282,2300-3283,,11.1,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5283,2300-3284,,11.2,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5284,2300-3285,,11.3,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5285,2300-3286,,11.4,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5286,2300-3287,,11.5,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5287,2300-3288,,11.7,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5288,2300-3289,,11.8,,,47.0,95.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5289,2300-3290,,11.9,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5290,2300-3291,,12.0,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5291,2300-3292,,12.1,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5292,2300-3293,,12.2,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5293,2300-3294,,12.3,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5294,2300-3295,,12.4,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5295,2300-3296,,12.5,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5296,2300-3297,,12.6,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5297,2300-3298,,12.7,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5298,2300-3299,,12.8,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5299,2300-3300,,13.0,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5300,2300-3301,,13.1,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5301,2300-3302,,13.2,,,51.0,102.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5302,2300-3303,,13.3,,,54.0,107.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5303,2300-3304,,13.5,,,54.0,107.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
5304,2300-3305,,13.7,,,54.0,107.0,,2.0,,2,35.0,,Сверло,ГОСТ 4010-77,,,,Левые,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
