index,Обозначение,D,l_,L,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_доп.,d_,Тип_отверстия
13084,2320-2736,17.0,125.0,184.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13085,2320-2737,17.75,130.0,191.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13086,2320-2738,18.0,130.0,191.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13087,2320-2738,18.7,135.0,198.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13088,2320-2739,19.0,135.0,198.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13089,2320-2741,19.7,140.0,206.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13090,2323-0501,7.8,75.0,156.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13091,2323-0502,8.0,75.0,156.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13092,2323-0503,8.8,81.0,162.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13093,2323-0504,9.0,81.0,162.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13094,2323-0505,9.8,87.0,168.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13095,2323-0506,10.0,87.0,168.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13096,2323-0507,10.75,94.0,175.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13097,2323-0508,11.0,94.0,175.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13098,2323-0509,11.75,94.0,175.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13099,2323-0511,12.0,101.0,182.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13100,2323-0512,12.75,101.0,182.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13101,2323-0513,13.0,101.0,182.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13102,2323-0514,13.75,108.0,189.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13103,2323-0515,14.0,108.0,189.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13104,2323-0516,14.75,114.0,212.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13105,2323-0517,14.75,114.0,212.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13106,2323-0518,15.0,114.0,212.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13107,2323-0519,15.0,114.0,212.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13108,2323-0521,15.75,120.0,218.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13109,2323-0522,16.0,120.0,218.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13110,2323-0523,16.75,125.0,223.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13111,2323-0524,17.0,125.0,223.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13112,2323-0525,17.75,130.0,228.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13113,2323-0526,18.0,130.0,228.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13114,2323-0527,18.7,135.0,233.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13115,2323-0528,19.0,135.0,233.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13116,2323-0529,19.7,140.0,238.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13117,2323-0531,20.0,140.0,238.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13118,2323-0532,20.7,145.0,243.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13119,2323-0533,21.0,145.0,243.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13120,2323-0534,21.7,150.0,248.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13121,2323-0535,22.0,150.0,248.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13122,2323-0536,22.7,155.0,253.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13123,2323-0538,23.0,155.0,253.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13124,2323-0541,23.7,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13125,2323-0542,24.0,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13126,2323-0543,24.7,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13127,2323-0544,25.0,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13128,2323-0545,25.7,165.0,286.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13129,2323-0546,26.0,165.0,286.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13130,2323-0547,27.7,170.0,291.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13131,2323-0548,28.0,170.0,291.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13132,2323-0549,29.7,175.0,296.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13133,2323-0551,30.0,175.0,296.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13134,2323-0552,31.6,185.0,306.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13135,2323-0553,31.6,185.0,334.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13136,2323-0554,32.0,185.0,306.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13137,2323-0555,32.0,185.0,334.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13138,2323-0556,33.6,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13139,2323-0557,34.0,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13140,2323-0558,34.6,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13141,2323-0559,35.0,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13142,2323-0561,35.6,195.0,344.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13143,2323-0562,36.0,195.0,344.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13144,2323-0563,37.6,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13145,2323-0564,38.0,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13146,2323-0565,39.6,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13147,2323-0566,40.0,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13148,2323-0567,41.6,205.0,354.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13149,2323-0568,42.0,205.0,354.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13150,2323-0569,43.6,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13151,2323-0571,44.0,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13152,2323-0572,44.6,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13153,2323-0573,45.0,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13154,2323-0574,45.6,215.0,364.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13155,2323-0575,46.0,215.0,364.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13156,2323-0576,47.6,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13157,2323-0577,48.0,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13158,2323-0578,49.6,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13159,2323-0579,50.0,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13160,2323-2201,36.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13161,2323-2202,36.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13162,2323-2203,38.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13163,2323-2204,38.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13164,2323-2205,40.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13165,2323-2206,40.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13166,2323-2207,42.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13167,2323-2208,42.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13168,2323-2209,44.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13169,2323-2210,44.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13170,2323-2211,45.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13171,2323-2212,45.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13172,2323-2213,46.0,,56.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
13173,2323-2214,46.0,,56.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
13174,2323-2215,48.0,,56.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
13175,2323-2216,48.0,,56.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
13176,2323-2217,50.0,,56.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
13177,2323-2218,50.0,,56.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
13178,2323-2219,52.0,,56.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
13179,2323-2220,52.0,,56.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
13180,2323-2221,55.0,,63.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
13181,2323-2222,55.0,,63.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
13182,2323-2223,58.0,,63.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
13183,2323-2224,58.0,,63.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
13184,2323-2225,60.0,,63.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
13185,2323-2226,60.0,,63.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
13186,2323-2227,62.0,,63.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
13187,2323-2228,62.0,,63.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
13188,2323-2229,65.0,,71.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,27.0,
13189,2323-2230,65.0,,71.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,27.0,
13190,2323-2231,67.0,,71.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,27.0,
13191,2323-2232,67.0,,71.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,27.0,
13192,2323-2233,70.0,,71.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,27.0,
13193,2323-2234,70.0,,71.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,27.0,
13194,2323-2235,72.0,,71.0,5.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,27.0,
13195,2323-2236,72.0,,71.0,5.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,27.0,
13196,2323-2237,75.0,,71.0,5.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,27.0,
13197,2323-2238,75.0,,71.0,5.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,27.0,
13198,2323-2239,80.0,,80.0,5.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,32.0,
13199,2323-2240,80.0,,80.0,5.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,32.0,
13200,2323-2243,37.0,,50.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
13201,2323-2244,37.0,,50.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
13202,2323-2245,47.0,,56.0,3.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
13203,2323-2246,47.0,,56.0,3.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
13204,2323-2247,56.0,,63.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
13205,2323-2248,56.0,,63.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
13206,2323-2249,63.0,,63.0,4.0,,2,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
13207,2323-2250,63.0,,63.0,4.0,,2,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
13208,2323-2701,3.0,33.0,61.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13209,2323-2702,3.3,36.0,65.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13210,2323-2703,3.5,39.0,70.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13211,2323-2704,3.8,43.0,75.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13212,2323-2705,4.0,43.0,75.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13213,2323-2706,4.3,47.0,80.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13214,2323-2707,4.5,47.0,80.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13215,2323-2708,4.8,52.0,86.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13216,2323-2709,5.0,52.0,86.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13217,2323-2711,5.8,57.0,93.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13218,2323-2712,6.0,57.0,93.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13219,2323-2713,6.8,69.0,107.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13220,2323-2714,7.0,69.0,107.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13221,2323-2715,7.8,75.0,117.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13222,2323-2716,8.0,75.0,117.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13223,2323-2717,8.8,81.0,125.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13224,2323-2718,9.0,81.0,125.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13225,2323-2719,9.8,87.0,133.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13226,2323-2721,10.0,87.0,133.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13227,2323-2722,10.75,94.0,142.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13228,2323-2723,11.0,94.0,142.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13229,2323-2724,11.75,94.0,142.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13230,2323-2725,12.0,101.0,151.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13231,2323-2726,12.75,101.0,151.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13232,2323-2727,13.0,101.0,151.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13233,2323-2728,13.75,108.0,160.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13234,2323-2729,14.0,108.0,160.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13235,2323-2731,14.75,114.0,169.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13236,2323-2732,15.0,114.0,169.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13237,2323-2733,15.75,120.0,178.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13238,2323-2734,16.0,120.0,178.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13239,2323-2735,16.75,125.0,184.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13240,2323-2736,17.0,125.0,184.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13241,2323-2737,17.75,130.0,191.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13242,2323-2738,18.0,130.0,191.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13243,2323-2738,18.7,135.0,198.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13244,2323-2739,19.0,135.0,198.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
13245,2323-2741,19.7,140.0,206.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для глухих отверстий
