index,Обозначение,D,l_,L,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_доп.,d_,Тип_отверстия
12939,2320-2554,9.0,81.0,162.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12940,2320-2555,9.8,87.0,168.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12941,2320-2556,10.0,87.0,168.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12942,2320-2557,10.75,94.0,175.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12943,2320-2558,11.0,94.0,175.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12944,2320-2559,11.75,94.0,175.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12945,2320-2561,12.0,101.0,182.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12946,2320-2562,12.75,101.0,182.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12947,2320-2563,13.0,101.0,182.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12948,2320-2564,13.75,108.0,189.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12949,2320-2565,14.0,108.0,189.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12950,2320-2566,14.75,114.0,212.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12951,2320-2567,14.75,114.0,212.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12952,2320-2568,15.0,114.0,212.0,3.0,1.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12953,2320-2569,15.0,114.0,212.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12954,2320-2571,15.75,120.0,218.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12955,2320-2572,16.0,120.0,218.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12956,2320-2573,16.75,125.0,223.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12957,2320-2574,17.0,125.0,223.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12958,2320-2575,17.75,130.0,228.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12959,2320-2576,18.0,130.0,228.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12960,2320-2577,18.7,135.0,233.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12961,2320-2578,19.0,135.0,233.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12962,2320-2579,19.7,140.0,238.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12963,2320-2581,20.0,140.0,238.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12964,2320-2582,20.7,145.0,243.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12965,2320-2583,21.0,145.0,243.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12966,2320-2584,21.7,150.0,248.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12967,2320-2585,22.0,150.0,248.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12968,2320-2586,22.7,155.0,253.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12969,2320-2588,23.0,155.0,253.0,3.0,2.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12970,2320-2591,23.7,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12971,2320-2592,24.0,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12972,2320-2593,24.7,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12973,2320-2594,25.0,160.0,281.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12974,2320-2595,25.7,165.0,286.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12975,2320-2596,26.0,165.0,286.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12976,2320-2597,27.7,170.0,291.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12977,2320-2598,28.0,170.0,291.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12978,2320-2599,29.7,175.0,296.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12979,2320-2601,30.0,175.0,296.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12980,2320-2602,31.6,185.0,306.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12981,2320-2603,31.6,185.0,334.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12982,2320-2604,32.0,185.0,306.0,3.0,3.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12983,2320-2605,32.0,185.0,334.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12984,2320-2606,33.6,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12985,2320-2607,34.0,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12986,2320-2608,34.6,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12987,2320-2609,35.0,190.0,339.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12988,2320-2611,35.6,195.0,344.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12989,2320-2612,36.0,195.0,344.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12990,2320-2613,37.6,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12991,2320-2614,38.0,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12992,2320-2615,39.6,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12993,2320-2616,40.0,200.0,349.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12994,2320-2617,41.6,205.0,354.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12995,2320-2618,42.0,205.0,354.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12996,2320-2619,43.6,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12997,2320-2621,44.0,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12998,2320-2622,44.6,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
12999,2320-2623,45.0,210.0,359.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13000,2320-2624,45.6,215.0,364.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13001,2320-2625,46.0,215.0,364.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13002,2320-2626,47.6,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13003,2320-2627,48.0,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13004,2320-2628,49.6,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
